DISTRICT,UPAZILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Barguna,Barguna Sadar,100181,CHHOTO GOURICHANNA HIGH SCHOOL,CHHOTO GOURICHANNA,MIRMOHAL,1309100181,PRIVATE,Yes
Barguna,Barguna Sadar,100182,CHALITALI HIGH SCHOOL,CHLITATALI,CHALITATALI BAZAR,1309100182,PRIVATE,Yes
Barguna,Barguna Sadar,100184,GAZI MAHMUD JUNIOR HIGH SCHOOL,GAZI MAHMUD,NISHANBARIA,1309100184,PRIVATE,Yes
Barguna,Barguna Sadar,100185,BALIATALI C.T. JUNIOR HIGH SCHOOL,CHOTO BALIATALI,PARIRKHAL,1309100185,PRIVATE,Yes
Barguna,Barguna Sadar,100186,RAYBHOGE KADAMTALA JUNIOR SECONDARY SCHOOL,RAYBHOGE,DALBANGA,1309100186,PRIVATE,Yes
Barguna,Barguna Sadar,100187,RAYER TABAK J S SECONDARY SCHOOL,RAYER TABAK,HAULI BUNIA,1309100187,PRIVATE,Yes
Barguna,Barguna Sadar,100188,LEMUA P.K.  HIGH SCHOOL,KADAMTALA,KADAMTALA BAZAR,1718228005,PRIVATE,Yes
Barguna,Barguna Sadar,100189,NAPITKHALI PONCHOGRAM HIGH SCHOOL,NAPITKHALI,BURIR CHAR,1309100189,PRIVATE,Yes
Barguna,Barguna Sadar,100190,G N S ADARSHA JR GIRLS  HIGH SCHOOL,GAZI MAHAMUD,NISANBARIA,1309100190,PRIVATE,Yes
Barguna,Barguna Sadar,100191,PURBO ROYBHOGE  HIGH SCHOOL,RAYBHOGE,KHAKBUNIA,1309100191,PRIVATE,Yes
Barguna,Barguna Sadar,100192,PURAKATA GIRLS HIGH SCHOOL,PURAKATA,BURIR CHAR,1309100192,PRIVATE,Yes
Barguna,Barguna Sadar,100193,CHOTO LABON GOLA HAZAR BIGHA HIGH SCHOOL,CHOTO LABON GOLA,CHROKGASIA,1309100193,PRIVATE,Yes
Barguna,Barguna Sadar,100194,MANASATALI LAKURTALA  A B R HIGH SCHOOL,MANASATALI,MAITHA,1751426977,PRIVATE,Yes
Barguna,Barguna Sadar,100195,SONAKHALI GIRLS  HIGH SCHOOL,SONAKHALI,ASHAKHALI,1309100195,PRIVATE,Yes
Barguna,Barguna Sadar,100196,POLICE LINE HIGH SCHOOL,POLICE LINE CAMPUS,BARGUNA,13091001936,PRIVATE,Yes
Barguna,Barguna Sadar,100244,KEORABUNIA HIGH SCHOOL,KEORABUNIA,ASHAKHALI,1309100244,PRIVATE,Yes
Barguna,Barguna Sadar,100245,ITBARIA KADAMTALA  HIGH SCHOOL,KADAMTALA,KADAMTALA BAZAR,1309100245,PRIVATE,Yes
Barguna,Barguna Sadar,137389,MAITHA LABONGOLA GOVT. PRIMARY SCHOOL,MAITHA ,BARGUNA,1718871353,GOVERNMENT PRIMARY,No
Barguna,Barguna Sadar,137904,HEULIBUNIA GOVT. PRIMARY SCHOOL,HEULIBUNIA,HEULIBUNIA,1714234165,GOVERNMENT PRIMARY,No
Barguna,Barguna Sadar,139394,EVERGREEN PUBLIC MODEL SCHOOL,COLLEGE ROAD,BARGUNA,1761093193,PRIVATE,No
Barguna,Betagi,100247,B. L. B. JUNIOR HIGH SCHOOL,DHAKHIN BHOLONATPUR,BETAGI,1721800205,PRIVATE,Yes
Barguna,Betagi,100249,SABUJ KANAN SECONDARY SCHOOL,KEORABUNIA,BETAGI,1309100249,PRIVATE,Yes
Barguna,Betagi,100250,BETAGI GOVT. HIGH SCHOOL,BETAGI,BETAGI,1712434877,PUBLIC,Yes
Barguna,Betagi,100251,FULTALA BIBICHINI BIKASH HIGH SCHOOL,FULTALA,FULTALA,1309100251,PRIVATE,Yes
Barguna,Betagi,100252,KAUNIA EMDADIA SECODARY SCHOOL,KAUNIA,KAUNIAHAT,1719847400,PRIVATE,Yes
Barguna,Betagi,100253,KUMRAKHALI SHASHI BHUSHAN SECONDARY SCHOOL,KUMRAKHALI,KUMRAKHALI,1309100253,PRIVATE,Yes
Barguna,Betagi,100254,PUTIAKHALI ADARSHA SECONDARY SCHOOL,PUTIAKHALI,GARIABUNIA HAT,1716629356,PRIVATE,Yes
Barguna,Betagi,100255,CHANDKHALI ISHAQUE HIGH SCHOOL AND COLLEGE,CHANDKHALI,AYELA CHANDKHALI,1309100255,PRIVATE,Yes
Barguna,Betagi,100257,MOKAMIA HIGH SCHOOL,CHOTO MOKAMIA,MOKAMIA,1743769219,PRIVATE,Yes
Barguna,Betagi,100258,TALGACHIA DESANTERKATI SECONDARY SCHOOL,TALGACHIA,TALGACHIA HIGH SCHOOL,1713932058,PRIVATE,Yes
Barguna,Betagi,100259,HOSNABAD ADARSHA SECONDARY SCHOOL,HOSNABAD ADARSHA SECONDARY SCHOOL,RAHIMABAD,1712932330,PRIVATE,Yes
Barguna,Betagi,100260,BALAI BUNIA HIGH SCHOOL,BALAI BUNIA,TALBARI BALAI BUNIA,1309100260,PRIVATE,Yes
Barguna,Betagi,100261,CHHOPKHALI HIGH SCHOOL,CHOPKHALI,CHOPKHALI,1309100261,PRIVATE,Yes
Barguna,Betagi,100262,JAMIR UDDIN SECONDARY SCHOOL,KALIKABARI,KALIKABARI,1721903214,PRIVATE,Yes
Barguna,Betagi,100263,WEST KARUNA HIGH SCHOOL,BAMANER KARUNA,KARUNA,1721109860,PRIVATE,Yes
Barguna,Betagi,100264,BHORA KALIKABARI HATEM ALI HIGH SCHOOL,KALIKA BARI,KALIKABARI,1720300376,PRIVATE,Yes
Barguna,Betagi,100265,BHORA SOUTH KALIKABARI ARSHEDIA HIGH SCHOOL,BHORA,DAKHIN BHORA,1309100265,PRIVATE,Yes
Barguna,Betagi,100266,KAUNIA SECONDARY GIRLS SCHOOL,KAUNIA ROAD,KAUNIAHAT,1725680614,PRIVATE,Yes
Barguna,Betagi,100267,KAZIRHAT HIGH SCHOOL,DAKKIN KARUNA,KARUNA,1710830502,PRIVATE,Yes
Barguna,Betagi,100268,KAIALGHATA HIGH SCHOOL,KAIALGHATA,KAIALGHATA,1309100268,PRIVATE,Yes
Barguna,Betagi,100269,DESHANTARKAT SECONDARY SCHOOL,DESHANTERKATHI,DESANTARKATI,1731357233,PRIVATE,Yes
Barguna,Betagi,100270,FULTALA NURUNNESSA JUNIOR GIRLS SCHOOL,FULTALA,FULTALA,1309100270,PRIVATE,Yes
Barguna,Betagi,100271,RANIPUR JUNIOR HIGH SCHOOL,RANIPUR,GARIABUNIA,1309100271,PRIVATE,No
