DISTRICT,UPAZILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Rangamati,Langadu  Upazila,107748,KARALLYA CHARY R.S.HIGH SCHOOL,KARALYACHARA,MAINIMUKH,1820365798,PRIVATE,Yes
Rangamati,Langadu  Upazila,107749,GULSHAKHALI ADARSHA HIGH SCHOOL,GULSHAKHALI,MAINIMUKH,1869103690,PRIVATE,Yes
Rangamati,Langadu  Upazila,107750,MAINIMUKH MODEL HIGH SCHOOL,MAINIMUKH,MAINIMUKH,1856487107,PRIVATE,Yes
Rangamati,Langadu  Upazila,107751,RABITA MODEL HIGH SCHOOL,MUSLIM BLOCK,MAINI MUKH,1818095342,PRIVATE,Yes
Rangamati,Langadu  Upazila,107752,LANGADU GIRLS HIGH SCHOOL,TINTELA,LONGADU,1556700270,PRIVATE,Yes
Rangamati,Langadu  Upazila,107753,DANER LONGADU JUNIOR HIGH SCHOOL, MAHAJON PARA ,LONGADU,1553607576,PRIVATE,No
Rangamati,Langadu  Upazila,107754,MOHAL CHARI JUNIOR HIGH SCHOOL,BARO KATTALI,LANGDU,1556708065,PRIVATE,Yes
Rangamati,Langadu  Upazila,107755,KALA PAKUJJA SENA MOITRI ADARSHA HIGH  SCHOOL,UTTAR RAHAMOT PUR,MAINI MUKH,1844684071,PRIVATE,Yes
Rangamati,Langadu  Upazila,107757,GHANMORE SENA MOITREE JUNIOR HIGH SCHOOL,GHANAMORE,LANGADU,1815030032,PRIVATE,No
Rangamati,Langadu  Upazila,107758,UTTAR YEARING CHARI SENA MOITRI  JUNIOR  HIGH SCHOOL,UTTAR YEARING CHARI,MAINIMUKH,1823904561,PRIVATE,No
Rangamati,Langadu  Upazila,137552,HAJACHARA GOVT. PRIMARY SCHOOL,HAJACHARA,MAYANIMUKH,1552711574,GOVERNMENT PRIMARY,No
Rangamati,Langadu  Upazila,137813,CHAILLATOLY GOVTERNMENT PRIMARY SCHOOL,CHAILLATALI,LANGADU,1840080314,GOVERNMENT PRIMARY,No
Rangamati,Langadu  Upazila,137893,ARMED POLICE BATTALION IDEAL SCHOOL AND COLLEGE,BARBUNIA,LANGADU,1851678102,PRIVATE,No
Rangamati,Naniarchar  Upazila,107765,NANIARCHAR GOVT. MODEL HIGH SCHOOL,NANIRCHAR,NANIARCHAR,1556613598,PUBLIC,Yes
Rangamati,Naniarchar  Upazila,107766,MOHAPURAM   HIGH SCHOOL,03 NO  BURIGAT,NANIARCHAR,1309107766,PRIVATE,Yes
Rangamati,Naniarchar  Upazila,107767,BETCHARI  GENERAL OSMANI  HIGH  SCHOOL,BETCHARI,NANIARCHAR,1822809767,PRIVATE,Yes
Rangamati,Naniarchar  Upazila,107768,JAHANTALY HIGH SCHOOL,JAHANTALY,NANIARCHAR,1823848164,PRIVATE,Yes
Rangamati,Naniarchar  Upazila,107769,KATALTALI  JUNIOR  HIGH SCHOOL,03 NO BURIGAT,BURIGHAT,1709904646,PRIVATE,No
Rangamati,Naniarchar  Upazila,107770,MORA CHANGEE JUNIOR HIGH SCHOOL,MORA CHANGEE,NANIAR CHAR,1828858255,PRIVATE,No
Rangamati,Naniarchar  Upazila,107772,BOGACHARI AL-AMIN JR. SCHOOL,BOGACHARI,NANIARCHAR,1820323991,PRIVATE,No
Rangamati,Naniarchar  Upazila,107773,GHILA CHARI JR. SCHOOL,GHILA CHARI,NANIAR CHAR,1862049050,PRIVATE,Yes
Rangamati,Naniarchar  Upazila,107774,BURIGHAT JR. SCHOOL,BURIGHAT,BURIGHAT,1556538918,PRIVATE,Yes
Rangamati,Naniarchar  Upazila,107775,GAINDIA CHARI JR. HIGH SCHOOL,KORLACHORI,NANIARCHAR,1840064657,PRIVATE,Yes
Rangamati,Naniarchar  Upazila,107777,SAPMARA JUNIOR HIGH SCHOOL,SAPMARA,NANIARCHAR,1553129354,PRIVATE,No
Rangamati,Naniarchar  Upazila,107778,NANIARCHAR JUNIOR GIRLS SCHOOL,NANIARCHAR,61 NO CHHAYKURI BILL,1553241686,PRIVATE,No
Rangamati,Naniarchar  Upazila,131070,TOYCHAKMA HEADMAN PARA JUNIOR HIGH SCHOOL,TOYCHAKMA,NANIARCHAR,1643175514,PRIVATE,No
Rangamati,Rajasthali  Upazila,107783,RAJASTHALI TAITONG PARA GOVT. HIGH SCHOOL,NARAMUKH PARA,RAJASTHALI,1557279091,PUBLIC,No
Rangamati,Rajasthali  Upazila,107784,BANGAL HALIA HIGH SCHOOL,BANGAL HALIA,BANGAL HALIA,1553119628,PRIVATE,Yes
Rangamati,Rajasthali  Upazila,107785,RAJASTHALI UPAJATIO ABASIKH HIGH SCHOOL,BANGAL HALIA,BANGALHALIA,1727289612,PRIVATE,No
Rangamati,Rajasthali  Upazila,107786,GAINDYA HIGH SCHOOL,GAINDYA,RAJASTHALI,1815197938,PRIVATE,Yes
Rangamati,Rajasthali  Upazila,107787,GHELA CHARI JUNIOR SCHOOL,DACTAR PARA,RAJASTHALI,1556594301,PRIVATE,No
Rangamati,Rajasthali  Upazila,131090,MATHUE PRUE- PRUE HLAU HEADMAN SMRITY JUNIOR SCHOOL,TAITONG PARA,RAJASTHALI,1864813799,PRIVATE,No
Rangamati,Rajasthali  Upazila,137559,ISLAMPUR GOVT. PRIMARY SCHOOL,ISLAMPUR,RAJASTHALI,1553103074,GOVERNMENT PRIMARY,No
Rangamati,Rangamati Sadar  Up,107790,OMDAMIA HILL POURA JUNIOR HIGH SCHOOL,9\231,SADAR,1556533442,PRIVATE,No
Rangamati,Rangamati Sadar  Up,107791,SHAPCHARI HIGH SCHOOL,SHAPCHARI,RANGAMATI,1820305177,PRIVATE,Yes
Rangamati,Rangamati Sadar  Up,107792,MOANOGHAR RESIDNTIAL HIGH SCHOOL,RANGAMATI,RANGAMATI,1839927145,PRIVATE,Yes
Rangamati,Rangamati Sadar  Up,107793,SHAH BOHUMUKHI HIGH SCHOOL,D.S B KOLONI,RANGAMATI,1557159931,PRIVATE,Yes
Rangamati,Rangamati Sadar  Up,107794,RANI DAYAMOYEE HIGH SCHOOL,RAJBARI AREA,RANGAMATI,1556534300,PRIVATE,Yes
Rangamati,Rangamati Sadar  Up,107795,RANGAMATI GOVERNMENT HIGH SCHOOL,RESERV MUKH/SANTIMOY DEWAN SARAK,RANGAMATI,1828806861,PUBLIC,No
Rangamati,Rangamati Sadar  Up,107797,RANGAMATI GOVT GIRLS HIGH SCHOOL,"ART COUNCIL COLONY, TABALCHARI",RANGAMATI,1556741204,PUBLIC,No
Rangamati,Rangamati Sadar  Up,107798,SHAHEED ABDUL ALI ACADEMY,RANGAMATI SADAR,RANGAMATI,1556777749,PRIVATE,Yes
Rangamati,Rangamati Sadar  Up,107799,KHARIKHYONG HIGH SCHOOL,KHARIKHYONG,RANGAMATI,1556775940,PRIVATE,Yes
Rangamati,Rangamati Sadar  Up,107800,BARA MOHAPURAM HIGH SCHOOL,KUTUK CHHARI,RANGAMATI,1820322180,PRIVATE,Yes
Rangamati,Rangamati Sadar  Up,107801,BARADAM SURBALA SMRITI BIDYAPITH,GOLACHARI,RANGAMATI,1815925039,PRIVATE,Yes
Rangamati,Rangamati Sadar  Up,107802,MUZADDED-E-ALFESANI ACADEMY HIGH SCHOOL,317,RANGAMATI,1739090102,PRIVATE,Yes
Rangamati,Rangamati Sadar  Up,107803,MASCHYAPARA HIGH SCHOOL,MASCHYAPARA,RANGAMATI,1828818601,PRIVATE,Yes
