DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Rangamati,Langadu,107752,LANGADU GIRLS HIGH SCHOOL,TINTELA,LONGADU,1556700270,PRIVATE,Yes
Rangamati,Langadu,107753,DANER LONGADU JUNIOR HIGH SCHOOL, MAHAJON PARA ,LONGADU,1553607576,PRIVATE,No
Rangamati,Langadu,107754,MOHAL CHARI JUNIOR HIGH SCHOOL,BARO KATTALI,LANGDU,1556708065,PRIVATE,Yes
Rangamati,Langadu,107755,KALA PAKUJJA SENA MOITRI ADARSHA HIGH  SCHOOL,UTTAR RAHAMOT PUR,MAINI MUKH,1844684071,PRIVATE,Yes
Rangamati,Langadu,107757,GHANMORE SENA MOITREE JUNIOR HIGH SCHOOL,GHANAMORE,LANGADU,1815030032,PRIVATE,No
Rangamati,Langadu,107758,UTTAR YEARING CHARI SENA MOITRI  JUNIOR  HIGH SCHOOL,UTTAR YEARING CHARI,MAINIMUKH,1823904561,PRIVATE,No
Rangamati,Langadu,137552,HAJACHARA GOVT. PRIMARY SCHOOL,HAJACHARA,MAYANIMUKH,1552711574,GOVERNMENT PRIMARY,No
Rangamati,Langadu,137813,CHAILLATOLY GOVTERNMENT PRIMARY SCHOOL,CHAILLATALI,LANGADU,1840080314,GOVERNMENT PRIMARY,No
Rangamati,Langadu,137893,ARMED POLICE BATTALION IDEAL SCHOOL AND COLLEGE,BARBUNIA,LANGADU,1851678102,PRIVATE,No
Rangamati,Naniarchar,107765,NANIARCHAR GOVT. MODEL HIGH SCHOOL,NANIRCHAR,NANIARCHAR,1556613598,PUBLIC,Yes
Rangamati,Naniarchar,107766,MOHAPURAM   HIGH SCHOOL,03 NO  BURIGAT,NANIARCHAR,1309107766,PRIVATE,Yes
Rangamati,Naniarchar,107767,BETCHARI  GENERAL OSMANI  HIGH  SCHOOL,BETCHARI,NANIARCHAR,1822809767,PRIVATE,Yes
Rangamati,Naniarchar,107768,JAHANTALY HIGH SCHOOL,JAHANTALY,NANIARCHAR,1823848164,PRIVATE,Yes
Rangamati,Naniarchar,107769,KATALTALI  JUNIOR  HIGH SCHOOL,03 NO BURIGAT,BURIGHAT,1709904646,PRIVATE,No
Rangamati,Naniarchar,107770,MORA CHANGEE JUNIOR HIGH SCHOOL,MORA CHANGEE,NANIAR CHAR,1828858255,PRIVATE,No
Rangamati,Naniarchar,107772,BOGACHARI AL-AMIN JR. SCHOOL,BOGACHARI,NANIARCHAR,1820323991,PRIVATE,No
Rangamati,Naniarchar,107773,GHILA CHARI JR. SCHOOL,GHILA CHARI,NANIAR CHAR,1862049050,PRIVATE,Yes
Rangamati,Naniarchar,107774,BURIGHAT JR. SCHOOL,BURIGHAT,BURIGHAT,1556538918,PRIVATE,Yes
Rangamati,Naniarchar,107775,GAINDIA CHARI JR. HIGH SCHOOL,KORLACHORI,NANIARCHAR,1840064657,PRIVATE,Yes
Rangamati,Naniarchar,107777,SAPMARA JUNIOR HIGH SCHOOL,SAPMARA,NANIARCHAR,1553129354,PRIVATE,No
