DISTRICT,UPAJILA,EIIN,INSTITUTE_NAME,ADDRESS,POST,MOBAILE,MANAGEMENT,MPO
Nilphamari,Domar ,124866,MONIR UDDIN SARKAR JUNIOR SCHOOL,GOMNATI,GOMNATI,1768940482,PRIVATE,No
Nilphamari,Domar ,124867,TIN BAT SHAHID SRITEE JUNIOR HIGH SCHOOL,MOTUKPUR,TINBAI,1309124867,PRIVATE,No
Nilphamari,Domar ,124868,HANGSHARAJ BL GIRLS HIGH SCHOOL,HANGSARAJ,SHEOTGARI,1722614970,PRIVATE,Yes
Nilphamari,Domar ,124869,UTTOR MATUKPUR JUNIOR GIRLS SCHOOL,MATUKPUR,BORAGARI,1309124869,PRIVATE,No
Nilphamari,Domar ,124870,JAMIR BARI JUNIOR ADARSH GIRLS SCHOOL,JAMIR BARI,SONAROY,1309124870,PRIVATE,Yes
Nilphamari,Domar ,124871,SHAHID ZIA GIRLS JUNIOR HIGH SCHOOL,GOMNATI,GOMNATI,1717452574,PRIVATE,Yes
Nilphamari,Domar ,124872,KATAL TULI HIGH SCHOOL,NIJ BHOGDABURI,CHILAHATI,1718674183,PRIVATE,Yes
Nilphamari,Domar ,124873,NODABASH JUNIOR SCHOOL,NODABASH,BORAGARI,1309124873,PRIVATE,No
Nilphamari,Domar ,124874,SOBDIGONJ JUNIOR SCHOOL,SOBDIGONJ,CHALAHATI,1729402010,PRIVATE,No
Nilphamari,Domar ,124877,PURBA HALHALIA GIRLS (GR) HIGH SCHOOL,HALHALIA,MIRZAGANJ,1721567382,PRIVATE,No
Nilphamari,Domar ,137350,BETGARA GOVT. PRIMARY SCHOOL,BETGARA,MIRZAGANJ,1716221482,GOVERNMENT PRIMARY,No
Nilphamari,Domar ,138532,MATUKPUR SAPTARSHI  JUNIOR SCHOOL,MATUKPUR,BORA GARI,1792801119,PRIVATE,No
Nilphamari,Domar ,139113,MATUKPUR SOPTORSHI BIDYAPITH,MATUKPUR,BORAGARI,1780613501,PRIVATE,No
Nilphamari,Jaldhaka ,124766,BALAPARA DWIMUKHI HIGH SCHOOL,BALA PARA,RATHBAZAR,1721948177,PRIVATE,Yes
Nilphamari,Jaldhaka ,124897,JALDHAKA GOVT. PILOT MODEL HIGH SCHOOL,JALDHAKA,JALDHAKA,1719203806,PUBLIC,Yes
Nilphamari,Jaldhaka ,124898,GOLMUNDA B.L.HIGH SCHOOL,POCHIM GOLMUNDA,GOLMUNDA,1725931167,PRIVATE,Yes
Nilphamari,Jaldhaka ,124899,SHOULMARI ML HIGH SCHOOL,TALUK SHOULMARI,DAKALIGANJ,1719512023,PRIVATE,Yes
Nilphamari,Jaldhaka ,124900,SHIMUL BARI S.C HIGH SCHOOL,ARAZI SHIMUL BARI,SHIMULBARI,1740815394,PRIVATE,Yes
Nilphamari,Jaldhaka ,124901,MIRGONJHAT ML. HIGH SCHOOL,PURBO SHIMUL BARI,MIRGANJ HAT,1724180039,PRIVATE,Yes
Nilphamari,Jaldhaka ,124902,GOLNA KALI GANJ SHAHID SMRITI HIGH SCHOOL,KALI GANJ,GOLNA KALIGANJ,1713681962,PRIVATE,Yes
Nilphamari,Jaldhaka ,124903,PATHANPARA HIGH SCHOOL,ARAZI PATHAN PARA,MIRGANJ HAT,1712492823,PRIVATE,Yes
Nilphamari,Jaldhaka ,124904,NEKBAKTA HIGH SCHOOL,NEKBAKTA,NEKBAKTA,1309124904,PRIVATE,Yes
Nilphamari,Jaldhaka ,124905,CHIRAVIZA  GOLNA  B.L HIGH   SCHOOL,CHIRAVIZA  GOLNA,GOLNA KACHARI BAZAR,1739263397,PRIVATE,Yes
Nilphamari,Jaldhaka ,124906,JALDHAKA PILOT GIRL'S HIGH SCHOOL,JALDHAKA,JALDHAKA,1717526779,PRIVATE,Yes
Nilphamari,Jaldhaka ,124907,BINNAKURI B.C.S B.L HIGH SCHOOL,BINNAKURI,BINNAKURI MAJAR,1712266164,PRIVATE,Yes
Nilphamari,Jaldhaka ,124910,KANTHALI S.C HIGH SCHOOL,WEST KANTHALI,KANTHALI,1734088881,PRIVATE,Yes
Nilphamari,Jaldhaka ,124911,GOPAL JHAR B.L. HIGH SCHOOL,GOPALJHAR,GOPALJHAR,17139148362,PRIVATE,Yes
Nilphamari,Jaldhaka ,124913,KHUTAMARA RAHMANIA HIGH SCHOOL,KHUTAMARA,KHUTAMARA,1722374569,PRIVATE,Yes
Nilphamari,Jaldhaka ,124914,KHERKATI HIGH SCHOOL,KHERKATI,KHERKATI HAT,1721714830,PRIVATE,Yes
Nilphamari,Jaldhaka ,124915,"AL-HAJ MOBARAK HOSSAIN ANIRBAN BYDDA TIRTHA M,L HIGH SCHOOL",MATHA BHAGNGA,JALDHAKA,1712874672,PRIVATE,Yes
Nilphamari,Jaldhaka ,124916,GAR DHARMOPAL SC. HIGH SCHOOL,GAR DHARMOPAL,GARER HAT,1770387356,PRIVATE,Yes
Nilphamari,Jaldhaka ,124918,BERUBANDA HAT B.L HIGH SCHOOL,BERUBANDA,SHIMULBARI,1723428663,PRIVATE,Yes
Nilphamari,Jaldhaka ,124919,GHUGHUMARI  JUNIOR HIGH SCHOOL,GHUGHUMARI,SHIMULBARI,1734133030,PRIVATE,Yes
Nilphamari,Jaldhaka ,124920,DAKHIN PATHAN PARA H.B.M GIRLS HIGH SCHOOL,RG PATAN PARA,MIRGONJ HAT,1727967321,PRIVATE,Yes
Nilphamari,Jaldhaka ,124921,SINGRIA BALA DANGA JUNIOR HIGH SCHOOL,SINGRIA,GOPAL ZAR,1734186980,PRIVATE,Yes
Nilphamari,Jaldhaka ,124922,GABROL TAHOSHILDAR PARA HIGH SCHOOL,GABROL,RATHERBAZAR,1720993390,PRIVATE,Yes
Nilphamari,Jaldhaka ,124923,CHERANGA JHARAPARA HIGH SCHOOL,CHERANGA,CHERANGA,1773910053,PRIVATE,Yes
Nilphamari,Jaldhaka ,124924,KHARIZA GOLNA DIGHIR PAR GIRLS HIGH SCHOOL,KHARIJA GOLNA,GOLNA KACHARI BAZAR,1770370302,PRIVATE,Yes
Nilphamari,Jaldhaka ,124925,BHABONCHUR MARATESSTA SYFUNE HIGH SCHOOL,,GOLMUNDA,1756333310,PRIVATE,Yes
Nilphamari,Jaldhaka ,124926,DAKAHIN DESHIBIE JUNIOR HIGH SCHOOL,DAKSHIN DESHIBAI,KATHANLI,1719823193,PRIVATE,Yes
Nilphamari,Jaldhaka ,124928,BALAGRAM  HIGH SCHOOL,BALAGRAM  [DALIA],BALAGRAM,1714524134,PRIVATE,Yes
Nilphamari,Jaldhaka ,124929,MALEKA BEGUM GIRLS HIGH SCHOOL,BAGULA GARI,RAJARHAT,1716941491,PRIVATE,Yes
Nilphamari,Jaldhaka ,124930,BALAPARA GABROL KACHARI GIRLS HIGH SCHOOL,BALAPARA,BALAPARA,1724563939,PRIVATE,Yes
Nilphamari,Jaldhaka ,124931,KHACHIMADA JUNIOR SCHOOL,KHACHIMADA,KHERKATI HAT,1824885450,PRIVATE,No
Nilphamari,Jaldhaka ,124935,TALUKBADI JUNIOR HIGH SCHOOL,KAIMARI,KAIMARI,1740597580,PRIVATE,Yes
Nilphamari,Jaldhaka ,124936,WEST KANTHLI GIRLS HIGH SCHOOL,WEST KANTHALI,KANTHALI,1755442447,PRIVATE,Yes
Nilphamari,Jaldhaka ,124938,BHABANCHUR JR. GIRLS SCHOOL,BHABANCHUR,GOLMUNDA,1723705495,PRIVATE,Yes
Nilphamari,Jaldhaka ,124939,GOLAMUNDA ADARSHA JR.GIRLS SCHOOL,PASCHIM GOLMUNDA,GOLMUNDA,1912528591,PRIVATE,No
Nilphamari,Jaldhaka ,124940,UTTAR DESHIBAI JUNIOR SCHOOL,UTTAR DESHIBAI,KANTHALI,1721698596,PRIVATE,Yes
Nilphamari,Jaldhaka ,124941,DAKSHIN PAITKAPARA JUNIOR GIRLS SCHOOL,DAKSHIN PAITKAPARA,KHERKATI HAT,1749377455,PRIVATE,No
Nilphamari,Jaldhaka ,124942,BALAGRAM JR.  GIRLS SCHOOL,PURBA  BALAGRAM,BALAGRAM,1742372881,PRIVATE,No
Nilphamari,Jaldhaka ,124982,TENGONMARI M.L HIGH SCHOOL,KHUTAMARA,KHALISA KHUTAMARA,1723464170,PRIVATE,Yes
Nilphamari,Jaldhaka ,133370,KHUTAMARA JR.GIRLS SCHOOL,KHALISHA KHUTAMARA,KHUTAMARA,1728503392,PRIVATE,No
Nilphamari,Jaldhaka ,135537,NEW MODEL  GIRLS HIGH SCHOOL,KAIMARI,KAIMARI,1960712573,PRIVATE,Yes
Nilphamari,Jaldhaka ,135907,CHOWRADANGI ADARSHA JUNIOR GIRLS SCHOOL,CHOWRADANGI,BALAGRAM,1725857850,PRIVATE,No
Nilphamari,Jaldhaka ,136757,ALHERA EDUCARE HOME JUNIOR SCHOOL,JALDHAKA,JALDHAKA,1828123137,PRIVATE,No
Nilphamari,Jaldhaka ,137093,JALDHAKA MADHYOMIK BIDYALAY,MATHABHANGA,JALDHAKA,1745987442,PRIVATE,No
Nilphamari,Jaldhaka ,137346,CHHITMIRGANG SHALONGRAM GOVT. PRIMARY SCHOOL,CHHIMIRGANG,BALAGRAM,1734022412,GOVERNMENT PRIMARY,No
Nilphamari,Jaldhaka ,137752,CHARENGA DAKURDANGA JUNIOR SCHOOL,CHARENGA,JHARPARA,1722907105,PRIVATE,No
Nilphamari,Jaldhaka ,139267,CHAR SHOULMARI PURBA PARA JUNIOR HIGH SCHOOL,CHAR GOPALJHAR,GOPALJHAR,1737933759,PRIVATE,No
Nilphamari,Kishorganj,124984,KISHORIGONJ GOVT. GIRLS HIGH SCHOOL,KESBA,KISHOREGONJ,1713681841,PUBLIC,Yes
